image,timestamp,input_rate,confidence,absolute_time_from_start,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model,var_rate
196,2024-11-23T14:19:05.992741,1,0.5346776843070984,81.1444034576416,34.1,1,0.7210166454315186,66.72873258590698,-32.59702745079994,yolov5l,0.009
197,2024-11-23T14:19:06.662646,1,0.9493058919906616,81.81430792808533,37.7,1,0.4454452991485595,67.00607776641846,-32.5283859372139,yolov5l,0.009
198,2024-11-23T14:19:08.068189,1,0.8996042609214783,83.21985268592834,32.2,1,0.5960376262664795,68.3045699596405,-33.20248284935951,yolov5l,0.009
198,2024-11-23T14:19:08.068189,1,0.8996042609214783,83.21985268592834,32.2,1,0.5960376262664795,68.3045699596405,-33.20248284935951,yolov5l,0.009
199,2024-11-23T14:19:09.413101,1,0.9411046504974364,84.56476402282715,29.9,1,0.5703988075256348,69.1871018409729,-33.62299859523773,yolov5l,0.009
200,2024-11-23T14:19:10.401227,1,0.8944844007492065,85.55289149284363,33.4,1,0.5015430450439453,69.73273873329163,-33.91912716627121,yolov5l,0.009
200,2024-11-23T14:19:10.401227,1,0.8944844007492065,85.55289149284363,33.4,1,0.5015430450439453,69.73273873329163,-33.91912716627121,yolov5l,0.009
201,2024-11-23T14:19:11.822708,1,0.960831880569458,86.9743721485138,30.7,1,0.7321207523345947,70.86960816383362,-34.45438814163208,yolov5l,0.009
202,2024-11-23T14:19:13.928357,1,0.9374241828918456,89.08000993728638,29.4,1,0.8796348571777344,72.53043842315674,-35.296507120132446,yolov5l,0.009
205,2024-11-23T14:19:15.035251,1,0.9119573831558228,90.1869125366211,48.4,1,0.2971599102020263,63.792845487594604,-30.94044405221939,yolov5l,0.009
208,2024-11-23T14:19:16.170906,1,0.809216320514679,91.32256722450256,46.4,1,0.353600263595581,52.92494893074036,-25.55786630511284,yolov5l,0.009
210,2024-11-23T14:19:17.242282,1,0.3566899597644806,92.3939437866211,48.4,1,0.2496044635772705,45.99236989021301,-22.567839965224262,yolov5l,0.009
211,2024-11-23T14:19:17.969473,1,0.7929177284240723,93.12113761901855,36.6,2,0.4263980388641357,42.71054482460022,-20.458813548088077,yolov5l,0.009
213,2024-11-23T14:19:18.975268,1,0.880859762430191,94.12693071365356,40.8,2,0.4081435203552246,35.72207593917847,-16.920608088374138,yolov5l,0.009
217,2024-11-23T14:19:21.041119,1,0.950568914413452,96.19278287887572,45.1,1,0.3643324375152588,21.791035413742065,-9.920233249664308,yolov5l,0.009
218,2024-11-23T14:19:21.745371,1,0.8290348052978516,96.8970341682434,36.1,1,0.4260811805725097,18.48283338546753,-8.326899290084839,yolov5l,0.009
220,2024-11-23T14:19:23.348245,1,0.9348385334014891,98.49990725517272,40.4,1,0.3953275680541992,12.091912984848022,-5.078537225723267,yolov5l,0.009
222,2024-11-23T14:19:24.316840,1,0.9549510478973388,99.46849393844604,58.4,1,0.2389931678771972,5.063610315322876,-1.5543296337127686,yolov5l,0.009
223,2024-11-23T14:19:24.851580,1,0.9553780555725098,100.0032398700714,42.1,1,0.4302079677581787,1.5903608798980713,0.1825085878372192,yolov5l,0.009
223,2024-11-23T14:19:24.851580,1,0.9553780555725098,100.0032398700714,42.1,1,0.4302079677581787,1.5903608798980713,0.1825085878372192,yolov5l,0.009
223,2024-11-23T14:19:24.851580,1,0.9553780555725098,100.0032398700714,42.1,1,0.4302079677581787,1.5903608798980713,0.1825085878372192,yolov5l,0.009
224,2024-11-23T14:19:28.594333,1,0.3914616107940674,103.74599599838255,22.0,1,0.4617002010345459,1.325294017791748,-0.2169162034988403,yolov5l,0.009
224,2024-11-23T14:19:28.594333,1,0.3914616107940674,103.74599599838255,22.0,1,0.4617002010345459,1.325294017791748,-0.2169162034988403,yolov5l,0.009
224,2024-11-23T14:19:28.594333,1,0.3914616107940674,103.74599599838255,22.0,1,0.4617002010345459,1.325294017791748,-0.2169162034988403,yolov5l,0.009
225,2024-11-23T14:19:32.429412,1,0.8203902840614319,107.581072807312,20.0,1,0.423095703125,1.165780544281006,0.327304869890213,yolov5l,0.009
225,2024-11-23T14:19:32.429412,1,0.8203902840614319,107.581072807312,20.0,1,0.423095703125,1.165780544281006,0.327304869890213,yolov5l,0.009
225,2024-11-23T14:19:32.429412,1,0.8203902840614319,107.581072807312,20.0,1,0.423095703125,1.165780544281006,0.327304869890213,yolov5l,0.009
225,2024-11-23T14:19:32.429412,1,0.8203902840614319,107.581072807312,20.0,1,0.423095703125,1.165780544281006,0.327304869890213,yolov5l,0.009
226,2024-11-23T14:19:36.172206,1,0.7557694017887115,111.32387137413023,20.9,2,0.3327021598815918,0.9142379760742188,0.8350036889314651,yolov5l,0.009
226,2024-11-23T14:19:36.172206,1,0.7557694017887115,111.32387137413023,20.9,2,0.3327021598815918,0.9142379760742188,0.8350036889314651,yolov5l,0.1
226,2024-11-23T14:19:36.172206,1,0.7557694017887115,111.32387137413023,20.9,2,0.3327021598815918,0.9142379760742188,0.8350036889314651,yolov5l,0.1
227,2024-11-23T14:19:40.233875,1,0.928644597530365,115.3855311870575,19.2,1,0.3666908740997314,0.9746026992797852,0.9516236484050752,yolov5l,0.1
227,2024-11-23T14:19:40.233875,1,0.928644597530365,115.3855311870575,19.2,1,0.3666908740997314,0.9746026992797852,0.9516236484050752,yolov5l,0.1
227,2024-11-23T14:19:40.233875,1,0.928644597530365,115.3855311870575,19.2,1,0.3666908740997314,0.9746026992797852,0.9516236484050752,yolov5l,0.1
228,2024-11-23T14:19:43.521371,1,0.9356343150138856,118.67303085327148,20.9,1,0.2134253978729248,0.263920783996582,0.5997775495052338,yolov5l,0.1
228,2024-11-23T14:19:43.521371,1,0.9356343150138856,118.67303085327148,20.9,1,0.2134253978729248,0.263920783996582,0.5997775495052338,yolov5l,0.1
228,2024-11-23T14:19:43.521371,1,0.9356343150138856,118.67303085327148,20.9,1,0.2134253978729248,0.263920783996582,0.5997775495052338,yolov5l,0.1
228,2024-11-23T14:19:43.521371,1,0.9356343150138856,118.67303085327148,20.9,1,0.2134253978729248,0.263920783996582,0.5997775495052338,yolov5l,0.1
229,2024-11-23T14:19:48.107491,1,0.9404945969581604,123.25914454460144,19.8,1,0.2461915016174316,0.8463709354400635,0.8934327661991119,yolov5l,0.1
229,2024-11-23T14:19:48.107491,1,0.9404945969581604,123.25914454460144,19.8,1,0.2461915016174316,0.8463709354400635,0.8934327661991119,yolov5l,0.1
229,2024-11-23T14:19:48.107491,1,0.9404945969581604,123.25914454460144,19.8,1,0.2461915016174316,0.8463709354400635,0.8934327661991119,yolov5l,0.1
229,2024-11-23T14:19:48.107491,1,0.9404945969581604,123.25914454460144,19.8,1,0.2461915016174316,0.8463709354400635,0.8934327661991119,yolov5l,0.1
230,2024-11-23T14:19:52.268169,1,0.9378319978713988,127.41982984542848,19.5,1,0.390343427658081,1.0062389373779297,0.4657965302467346,yolov5l,0.1
230,2024-11-23T14:19:52.268169,1,0.9378319978713988,127.41982984542848,19.5,1,0.390343427658081,1.0062389373779297,0.4657965302467346,yolov5l,0.1
231,2024-11-23T14:19:55.622776,1,0.9525269865989684,130.7744390964508,20.1,1,0.2865676879882812,0.3615553379058838,0.6570411622524261,yolov5l,0.1
231,2024-11-23T14:19:55.622776,1,0.9525269865989684,130.7744390964508,20.1,1,0.2865676879882812,0.3615553379058838,0.6570411622524261,yolov5l,0.1
